scenario,primary_controls
Ransomware,"NIST SC-28, SI-3; ISO 27001 A.8.12; PCI DSS 5,10"
Phishing BEC,"NIST AC-6, IA-2; ISO 27001 A.5.17; PCI DSS 12.6"
